Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Sub-task;Project_1-1917;14168;13569;Title task 1;Assignee1;Medium;In Progress;Project_1 Sprint 14;;30600;30600;;;;;
Bug;Project_1-1886;14047;;Title task 2;Assignee2;Medium;In Progress;Project_1 Sprint 14;3.0;;14400;SDK-1;;;;
Sub-task;Project_1-1867;14025;13963;Title task 3;Assignee3;Medium;In Progress;Project_1 Sprint 14;;61200;50400;;;;;
Sub-task;Project_1-1863;14021;13831;Title task 4;Assignee5;Medium;In Progress;Project_1 Sprint 14;;122400;61200;;;;;
Sub-task;Project_1-1823;13977;13933;Title task 5;Assignee4;Medium;In Progress;Project_1 Sprint 14;;122400;122220;;;;;
Sub-task;Project_1-1811;13961;13838;Title task 6;Assignee3;Medium;In Progress;Project_1 Sprint 14;;91800;70200;;;;;
Sub-task;Project_1-1807;13957;13830;Title task 7;Assignee6;Medium;In Progress;Project_1 Sprint 14;;153000;75600;;;;;
Story;Project_1-1786;13936;;Title task 8;Assignee7;Medium;In Progress;Project_1 Sprint 14;13.0;275400;122400;;;;;
Story;Project_1-1783;13933;;Title task 9;;Medium;In Progress;Project_1 Sprint 14;55.0;226800;122220;;;;;Project_1-326
Task;Project_1-1782;13932;;Title task 10;Assignee3;Medium;In Progress;Project_1 Sprint 14;13.0;61200;61200;;;;;
Bug;Project_1-1756;13844;;Title task 11;Assignee1;Medium;In Progress;Project_1 Sprint 14;21.0;30600;28800;Collection;;;;
Story;Project_1-1750;13838;;Title task 12;;Medium;In Progress;Project_1 Sprint 14;21.0;167400;70200;;;;;Project_1-1768
Story;Project_1-1748;13830;;Title task 13;;High;In Progress;Project_1 Sprint 14;13.0;214200;75600;;;;;Project_1-1768
Sub-task;Project_1-1670;13636;13598;Title task 14;Assignee8;Medium;In Progress;Project_1 Sprint 13;;7200;0;;;;;
Bug;Project_1-1648;13607;;Title task 15;Assignee8;Medium;In Progress;Project_1 Sprint 14;3.0;7200;0;SDK-11;;;;
Story;Project_1-1641;13598;;Title task 16;;High;In Progress;Project_1 Sprint 13;13.0;27000;19800;;;;;
Story;Project_1-1633;13590;;Title task 17;;Medium;In Progress;Project_1 Sprint 13;34.0;336600;219600;;;;;
Sub-task;Project_1-1631;13588;12879;Title task 18;Assignee1;Medium;In Progress;Project_1 Sprint 12;;18000;18000;;;;;
Story;Project_1-1614;13569;;Title task 19;Assignee1;Medium;In Progress;Project_1 Sprint 14;8.0;107100;76500;SDK-4;;;;
Bug;Project_1-1610;13565;;Title task 20;Assignee8;Medium;In Progress;Project_1 Sprint 14;8.0;30600;27000;SDK-2;;;;
Story;Project_1-1609;13564;;Title task 21;Assignee6;Medium;In Progress;Project_1 Sprint 14;1.0;18000;0;SDK-8;;;;
Bug;Project_1-1605;13560;;Title task 22;Assignee9;Medium;In Progress;Project_1 Sprint 12;8.0;30600;27000;SDK-3;;;;
Story;Project_1-1249;12879;;Title task 23;;Medium;In Progress;Project_1 Sprint 12;13.0;109800;81000;;;;;Project_1-679
Bug;Project_1-1927;14191;;Title task 24;Assignee6;High;To Do;Project_1 Sprint 14;;;;SDK-3;;;;
Sub-task;Project_1-1919;14170;11629;Title task 25;Assignee1;Medium;To Do;Project_1 Sprint 12;;;;;;;;
Sub-task;Project_1-1918;14169;13569;Title task 26;Assignee2;Medium;To Do;Project_1 Sprint 14;;45900;45900;;;;;
Story;Project_1-1893;14099;;Title task 27;Assignee7;Medium;To Do;Project_1 Sprint 14;;;;;;;;
Sub-task;Project_1-1868;14026;13963;Title task 28;Assignee10;Medium;To Do;Project_1 Sprint 14;;61200;61200;;;;;
Sub-task;Project_1-1866;14024;13831;Title task 29;Assignee5;Medium;To Do;Project_1 Sprint 14;;214200;214200;;;;;
Sub-task;Project_1-1865;14023;13831;Title task 30;Assignee5;Medium;To Do;Project_1 Sprint 14;;122400;122400;;;;;
Sub-task;Project_1-1864;14022;13831;Title task 31;Assignee5;Medium;To Do;Project_1 Sprint 14;;61200;61200;;;;;
Story;Project_1-1812;13963;;Title task 32;;Medium;To Do;Project_1 Sprint 14;89.0;122400;111600;;;;;
Story;Project_1-1788;13938;;Title task 33;Assignee8;Medium;To Do;Project_1 Sprint 14;21.0;61200;61200;;;;;
Bug;Project_1-1766;13856;;Title task 34;Assignee1;Highest;To Do;Project_1 Sprint 14;5.0;30600;30600;;;;;
Story;Project_1-1749;13831;;Title task 35;;Medium;To Do;Project_1 Sprint 14;55.0;581400;459000;;;;;Project_1-326
Bug;Project_1-1737;13799;;Title task 36;Assignee8;Medium;To Do;Project_1 Sprint 14;8.0;30600;30600;SDK-3;;;;
Bug;Project_1-1727;13788;;Title task 37;Assignee9;Medium;To Do;Project_1 Sprint 14;8.0;45900;45900;SDK-7;;;;
Sub-task;Project_1-1669;13635;13598;Title task 38;admin;Medium;To Do;Project_1 Sprint 13;;16200;16200;;;;;
Sub-task;Project_1-1668;13634;13598;Title task 39;admin;Medium;To Do;Project_1 Sprint 13;;3600;3600;;;;;
Sub-task;Project_1-1640;13597;13590;Title task 40;Assignee9;Medium;To Do;Project_1 Sprint 13;;45900;45900;;;;;
Sub-task;Project_1-1639;13596;13590;Title task 41;Assignee9;Medium;To Do;Project_1 Sprint 13;;45900;45900;;;;;
Sub-task;Project_1-1638;13595;13590;Title task 42;Assignee11;Medium;To Do;Project_1 Sprint 13;;61200;3600;;;;;
Sub-task;Project_1-1637;13594;13590;Title task 43;Assignee11;Medium;To Do;Project_1 Sprint 13;;30600;1800;;;;;
Sub-task;Project_1-1636;13593;13590;Title task 44;Assignee8;Medium;To Do;Project_1 Sprint 13;;61200;61200;;;;;
Sub-task;Project_1-1635;13592;13590;Title task 45;Assignee9;Medium;To Do;Project_1 Sprint 13;;61200;61200;;;;;
Sub-task;Project_1-1632;13589;12879;Title task 46;Assignee4;Medium;To Do;Project_1 Sprint 12;;30600;30600;;;;;
Sub-task;Project_1-1630;13587;12879;Title task 47;Assignee1;Medium;To Do;Project_1 Sprint 12;;30600;30600;;;;;
Sub-task;Project_1-1629;13586;12879;Title task 48;Assignee11;Medium;To Do;Project_1 Sprint 12;;30600;1800;;;;;
Story;Project_1-1559;13476;;Title task 49;Assignee7;Medium;To Do;Project_1 Sprint 14;;;;;;;;
Bug;Project_1-1278;12931;;Title task 50;Assignee2;Medium;To Do;Project_1 Sprint 14;3.0;;14400;SDK-7;;;;
Story;Project_1-718;11671;;Title task 51;Assignee11;Medium;To Do;Project_1 Sprint 7;13.0;61200;1800;;;;;Project_1-325
Story;Project_1-687;11629;;Title task 52;;Medium;To Do;Project_1 Sprint 12;21.0;82800;0;;;;;Project_1-731
Bug;Project_1-1922;14184;;Title task 53;Assignee1;Highest;Done;Project_1 Sprint 14;8.0;28800;0;Data;;;;
Sub-task;Project_1-1921;14180;13933;Title task 54;Assignee3;Medium;Done;Project_1 Sprint 14;;;0;;;;;
Bug;Project_1-1906;14145;;Title task 55;Assignee6;Medium;Done;Project_1 Sprint 14;;;0;SDK-8;;;;
Bug;Project_1-1895;14132;;Title task 56;Assignee2;Medium;Done;Project_1 Sprint 14;3.0;;0;SDK-4;;;;
Bug;Project_1-1894;14131;;Title task 57;Assignee1;Medium;Done;Project_1 Sprint 14;;7200;0;Network;;;;
Bug;Project_1-1892;14098;;Title task 58;Assignee7;Highest;Done;Project_1 Sprint 14;8.0;30600;0;SDK-10;;;;
Bug;Project_1-1891;14056;;Title task 59;Assignee1;Medium;Done;Project_1 Sprint 14;13.0;61200;0;Network;;;;
Bug;Project_1-1890;14055;;Title task 60;Assignee1;Medium;Done;Project_1 Sprint 14;3.0;3600;0;Network;;;;
Bug;Project_1-1889;14054;;Title task 61;Assignee1;Medium;Done;Project_1 Sprint 14;3.0;7200;0;Network;;;;
Sub-task;Project_1-1862;14020;13831;Title task 62;Assignee5;Medium;Done;Project_1 Sprint 14;;61200;0;;;;;
Sub-task;Project_1-1855;14013;13933;Title task 63;Assignee3;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1820;13974;13933;Title task 64;Assignee3;Medium;Done;Project_1 Sprint 14;;10800;0;;;;;
Sub-task;Project_1-1818;13972;13933;Title task 65;Assignee8;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1817;13971;13933;Title task 66;Assignee3;Medium;Done;Project_1 Sprint 14;;10800;0;;;;;
Sub-task;Project_1-1816;13970;13933;Title task 67;Assignee9;Medium;Done;Project_1 Sprint 14;;21600;0;;;;;
Sub-task;Project_1-1810;13960;13838;Title task 68;Assignee9;Medium;Done;Project_1 Sprint 14;;14400;0;;;;;
Sub-task;Project_1-1809;13959;13838;Title task 69;Assignee9;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
Sub-task;Project_1-1808;13958;13838;Title task 70;Assignee11;Medium;Done;Project_1 Sprint 14;;30600;0;;;;;
